"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","LCSC Part #"
"C1,C7","2","100u","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","C109392"
"C2,C21","2","22n","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C77069"
"C3","1","1n","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C1791"
"C4,C6","2","10u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C84416"
"C5,C8,C13,C15,C18,C19,C20","7","100n","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C520083"
"C9,C10,C12,C14,C16,C17","6","220n","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C541527"
"C11","1","470n","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C520079"
"L1","1","4.7u","","","","Inductor_SMD:L_1008_2520Metric_Pad1.43x2.20mm_HandSolder","~","C82314"
"P2","1","178780-1","","","","178780-1","DOCUMENTATION","C5166246"
"Q1,Q2","2","PN2907A","","","","Package_TO_SOT_THT:TO-92_Inline_Wide","https://www.nteinc.com/specs/original/2N3905_06.pdf","C513106"
"Q3,Q4,Q5,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17","13","DMG2302U","","","","Package_TO_SOT_SMD:SOT-23","http://www.diodes.com/assets/Datasheets/DMG2302U.pdf","C96613"
"Q6","1","DMG2305UX","","","","Package_TO_SOT_SMD:SOT-23","~","C150470"
"R1,R13","2","48.7k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C865519"
"R2","1","330","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C105878"
"R3","1","3.3k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C114531"
"R4,R7","2","3k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C126350"
"R5","1","30k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C126352"
"R6,R32,R36,R37,R51","5","1k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C727989"
"R8,R11,R12,R14,R33,R34,R35,R45","8","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C855098"
"R9","1","1M","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C107700"
"R10","1","22k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C114565"
"R15,R16,R17,R18,R20,R21,R23,R25,R27,R38,R39,R40,R43,R44,R46,R47","16","180k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C865232"
"R19,R31,R50","3","470","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C114564"
"R22,R24,R26,R28","4","348k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C228757"
"R29,R30","2","2.49k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C375522"
"R41,R42","2","220","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C114519"
"R48","1","3.9k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C865471"
"R49","1","604","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C472205"
"U2","1","TL431LP","","","","Package_TO_SOT_THT:TO-92_Inline","http://www.ti.com/lit/ds/symlink/tl431.pdf","C398376"
"U4,U6","2","TC4424AVOA","","","","TC4424AVOA:SOIC127P599X175-8N","","C44150"
"U5","1","AP63205WU","","","","Package_TO_SOT_SMD:TSOT-23-6","https://www.diodes.com/assets/Datasheets/AP63200-AP63201-AP63203-AP63205.pdf","C2071056"
"U8","1","MPXHZ6115A","","","","Package_SO:SSOP-8_3.95x5.21x3.27mm_P1.27mm","https://www.nxp.com/docs/en/data-sheet/MPXA6115A.pdf","C3235759"
"U13","1","LMV324LIDT","","","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lmv324.pdf","C262920"
"LAMBDA_OUT1","1","TestPoint","","Excluded from BOM","","TestPoint:TestPoint_Pad_3.0x3.0mm","~",""
"U1","1","Teensy4.1","","Excluded from BOM","","teensy:Teensy41","",""
"U3","1","MPX4250","","Excluded from BOM","","mpx:MPX-4_MAP","",""
"U7","1","~","","Excluded from BOM","","spartan3oem:spartan3oem","",""
