Designator,Mid X,Mid Y,Rotation,Layer
C1,24.6676,-62.0,0.0,top
C10,60.8625,-53.25,0.0,top
C11,124.55,-126.1,180.0,top
C12,147.4,-81.3,0.0,top
C13,97.1,-115.8,0.0,top
C14,91.3,-115.3,90.0,top
C15,94.6,-108.6,270.0,top
C16,98.8,-107.0,180.0,top
C17,114.6,-80.8,0.0,top
C18,120.2,-106.8,180.0,top
C19,124.0,-111.1,90.0,top
C2,48.8,-65.5,0.0,top
C20,92.6,-121.9,90.0,top
C21,79.55,-120.75,0.0,top
C3,44.5,-63.1,0.0,top
C4,78.2,-79.1375,0.0,top
C5,80.5,-72.0375,180.0,top
C6,87.1,-75.8375,270.0,top
C7,92.7,-76.0051,270.0,top
C8,76.05,-114.9,180.0,top
C9,79.45,-108.05,180.0,top
L1,83.2,-74.8375,0.0,top
P2,95.59994,-35.86945,0.0,top
Q1,26.3,-52.16,0.0,top
Q10,140.25,-54.3625,270.0,top
Q11,151.45,-54.3625,270.0,top
Q12,156.95,-54.3625,270.0,top
Q13,134.0,-54.4,270.0,top
Q14,130.8,-48.5375,270.0,top
Q15,61.7,-57.5375,270.0,top
Q16,71.6,-48.5,270.0,top
Q17,33.4,-70.3,270.0,top
Q2,35.1,-53.46,0.0,top
Q3,100.7,-74.2,270.0,top
Q4,109.2,-72.0,270.0,top
Q5,53.6,-51.4,0.0,top
Q6,41.1,-49.5,0.0,top
Q8,66.0,-48.6,270.0,top
Q9,146.05,-54.3625,270.0,top
R1,30.3,-65.9,0.0,top
R10,52.8,-62.9,0.0,top
R11,54.6,-56.9,270.0,top
R12,46.1,-49.8,270.0,top
R13,84.65,-116.7,0.0,top
R14,61.4,-62.1,0.0,top
R15,125.4,-72.0,180.0,top
R16,125.3,-82.0,0.0,top
R17,125.3,-78.5,0.0,top
R18,125.4,-75.5,180.0,top
R19,103.4,-109.5,0.0,top
R2,27.5,-45.2,270.0,top
R20,145.9,-60.0,180.0,top
R21,146.1,-86.2,270.0,top
R22,150.3,-85.5,90.0,top
R23,146.3,-103.3,90.0,top
R24,149.3,-102.0,270.0,top
R25,153.2,-86.8,270.0,top
R26,153.6,-80.4,180.0,top
R27,156.1,-89.1,270.0,top
R28,156.2,-94.0,90.0,top
R29,103.4,-113.8,0.0,top
R3,29.9,-58.2,0.0,top
R30,90.9,-108.5,90.0,top
R31,87.1,-108.5,90.0,top
R32,113.4,-67.3,0.0,top
R33,99.5,-69.3,0.0,top
R34,108.9,-77.3,0.0,top
R35,104.4,-78.0,0.0,top
R36,110.1,-106.8,180.0,top
R37,116.4,-113.0,0.0,top
R38,140.3,-60.0,180.0,top
R39,151.6,-60.1,180.0,top
R4,46.5,-56.6,0.0,top
R40,157.1,-60.1,180.0,top
R41,115.3,-106.8,0.0,top
R42,110.0,-111.9,180.0,top
R43,134.0,-60.0,180.0,top
R44,129.8,-52.5,180.0,top
R45,66.1,-53.4,180.0,top
R46,71.6,-53.4,180.0,top
R47,33.4,-74.7,180.0,top
R48,70.65,-107.55,180.0,top
R49,74.95,-110.3,180.0,top
R5,32.2,-48.0,0.0,top
R50,79.75,-111.7,180.0,top
R51,61.45,-50.45,0.0,top
R6,42.2,-54.1,0.0,top
R7,42.2,-59.3,0.0,top
R8,44.0,-68.0,180.0,top
R9,48.5,-60.6,0.0,top
U1,98.265,-94.6,180.0,top
U13,148.6,-93.9,270.0,top
U2,36.0,-61.36,0.0,top
U3,132.5345,-136.0,270.0,top
U4,119.295,-64.27,90.0,top
U5,78.2625,-75.5375,180.0,top
U6,127.5,-64.4,90.0,top
U7,57.4,-83.4,270.0,top
U8,86.1,-123.65,180.0,top
